CustomerID,CustomerName,CustomerPhoneNumber,CustomerFaxNumber,CustomerCategory,CustomerBuyingGroup,CustomerCity,CustomerStateProvinceCode,CustomerStateProvince,CustomerCountry,CustomerContinent,CustomerRegion,CustomerSubregion
14,Tailspin Toys (Long Meadow, MD),(240) 555-0100,(240) 555-0101,Novelty Shop,Tailspin Toys,Long Meadow,MD,Maryland,United States,North America,Americas,Northern America
15,Tailspin Toys (Batson, TX),(210) 555-0100,(210) 555-0101,Novelty Shop,Tailspin Toys,Batson,TX,Texas,United States,North America,Americas,Northern America
16,Tailspin Toys (Coney Island, MO),(314) 555-0100,(314) 555-0101,Novelty Shop,Tailspin Toys,Coney Island,MO,Missouri,United States,North America,Americas,Northern America
17,Tailspin Toys (East Fultonham, OH),(216) 555-0100,(216) 555-0101,Novelty Shop,Tailspin Toys,East Fultonham,OH,Ohio,United States,North America,Americas,Northern America
18,Tailspin Toys (Goffstown, NH),(603) 555-0100,(603) 555-0101,Novelty Shop,Tailspin Toys,Goffstown,NH,New Hampshire,United States,North America,Americas,Northern America
19,Tailspin Toys (Lemeta, AK),(907) 555-0100,(907) 555-0101,Novelty Shop,Tailspin Toys,Lemeta,AK,Alaska,United States,North America,Americas,Northern America
20,Tailspin Toys (College Place, WA),(206) 555-0100,(206) 555-0101,Novelty Shop,Tailspin Toys,College Place,WA,Washington,United States,North America,Americas,Northern America
21,Tailspin Toys (Tresckow, PA),(215) 555-0100,(215) 555-0101,Novelty Shop,Tailspin Toys,Tresckow,PA,Pennsylvania,United States,North America,Americas,Northern America
22,Tailspin Toys (Ward Ridge, FL),(239) 555-0100,(239) 555-0101,Novelty Shop,Tailspin Toys,Ward Ridge,FL,Florida,United States,North America,Americas,Northern America
23,Tailspin Toys (Ikatan, AK),(907) 555-0100,(907) 555-0101,Novelty Shop,Tailspin Toys,Ikatan,AK,Alaska,United States,North America,Americas,Northern America
24,Tailspin Toys (Dundarrach, NC),(252) 555-0100,(252) 555-0101,Novelty Shop,Tailspin Toys,Dundarrach,NC,North Carolina,United States,North America,Americas,Northern America
25,Tailspin Toys (Avenal, CA),(209) 555-0100,(209) 555-0101,Novelty Shop,Tailspin Toys,Avenal,CA,California,United States,North America,Americas,Northern America
26,Tailspin Toys (Hedrick, IA),(319) 555-0100,(319) 555-0101,Novelty Shop,Tailspin Toys,Hedrick,IA,Iowa,United States,North America,Americas,Northern America
27,Tailspin Toys (Bowlus, MN),(218) 555-0100,(218) 555-0101,Novelty Shop,Tailspin Toys,Bowlus,MN,Minnesota,United States,North America,Americas,Northern America
28,Tailspin Toys (North Ridge, NY),(212) 555-0100,(212) 555-0101,Novelty Shop,Tailspin Toys,North Ridge,NY,New York,United States,North America,Americas,Northern America
29,Tailspin Toys (Eulaton, AL),(205) 555-0100,(205) 555-0101,Novelty Shop,Tailspin Toys,Eulaton,AL,Alabama,United States,North America,Americas,Northern America
30,Tailspin Toys (Koontzville, WA),(206) 555-0100,(206) 555-0101,Novelty Shop,Tailspin Toys,Koontzville,WA,Washington,United States,North America,Americas,Northern America
31,Tailspin Toys (Lake Stevens, WA),(206) 555-0100,(206) 555-0101,Novelty Shop,Tailspin Toys,Lake Stevens,WA,Washington,United States,North America,Americas,Northern America
32,Tailspin Toys (Maypearl, TX),(210) 555-0100,(210) 555-0101,Novelty Shop,Tailspin Toys,Maypearl,TX,Texas,United States,North America,Americas,Northern America
33,Tailspin Toys (Boyden Arbor, SC),(803) 555-0100,(803) 555-0101,Novelty Shop,Tailspin Toys,Boyden Arbor,SC,South Carolina,United States,North America,Americas,Northern America
34,Tailspin Toys (Dallardsville, TX),(210) 555-0100,(210) 555-0101,Novelty Shop,Tailspin Toys,Dallardsville,TX,Texas,United States,North America,Americas,Northern America
35,Tailspin Toys (Slanesville, WV),(304) 555-0100,(304) 555-0101,Novelty Shop,Tailspin Toys,Slanesville,WV,West Virginia,United States,North America,Americas,Northern America
36,Tailspin Toys (Ekron, KY),(270) 555-0100,(270) 555-0101,Novelty Shop,Tailspin Toys,Ekron,KY,Kentucky,United States,North America,Americas,Northern America
37,Tailspin Toys (Kerby, OR),(458) 555-0100,(458) 555-0101,Novelty Shop,Tailspin Toys,Kerby,OR,Oregon,United States,North America,Americas,Northern America
38,Tailspin Toys (Airport Drive, MO),(314) 555-0100,(314) 555-0101,Novelty Shop,Tailspin Toys,Airport Drive,MO,Missouri,United States,North America,Americas,Northern America
39,Tailspin Toys (Diablock, KY),(270) 555-0100,(270) 555-0101,Novelty Shop,Tailspin Toys,Diablock,KY,Kentucky,United States,North America,Americas,Northern America
40,Tailspin Toys (Impact, TX),(210) 555-0100,(210) 555-0101,Novelty Shop,Tailspin Toys,Impact,TX,Texas,United States,North America,Americas,Northern America
41,Tailspin Toys (Olivette, MO),(314) 555-0100,(314) 555-0101,Novelty Shop,Tailspin Toys,Olivette,MO,Missouri,United States,North America,Americas,Northern America
42,Tailspin Toys (Arietta, NY),(212) 555-0100,(212) 555-0101,Novelty Shop,Tailspin Toys,Arietta,NY,New York,United States,North America,Americas,Northern America
43,Tailspin Toys (Upper Preston, WA),(206) 555-0100,(206) 555-0101,Novelty Shop,Tailspin Toys,Upper Preston,WA,Washington,United States,North America,Americas,Northern America
44,Tailspin Toys (Amanda Park, WA),(206) 555-0100,(206) 555-0101,Novelty Shop,Tailspin Toys,Amanda Park,WA,Washington,United States,North America,Americas,Northern America
45,Tailspin Toys (Severna Park, MD),(240) 555-0100,(240) 555-0101,Novelty Shop,Tailspin Toys,Severna Park,MD,Maryland,United States,North America,Americas,Northern America
46,Tailspin Toys (Jemison, AL),(205) 555-0100,(205) 555-0101,Novelty Shop,Tailspin Toys,Jemison,AL,Alabama,United States,North America,Americas,Northern America
47,Tailspin Toys (Lake Hughes, CA),(209) 555-0100,(209) 555-0101,Novelty Shop,Tailspin Toys,Lake Hughes,CA,California,United States,North America,Americas,Northern America
48,Tailspin Toys (Trentwood, WA),(206) 555-0100,(206) 555-0101,Novelty Shop,Tailspin Toys,Trentwood,WA,Washington,United States,North America,Americas,Northern America
49,Tailspin Toys (Muir, MI),(231) 555-0100,(231) 555-0101,Novelty Shop,Tailspin Toys,Muir,MI,Michigan,United States,North America,Americas,Northern America
50,Tailspin Toys (Hambleton, WV),(304) 555-0100,(304) 555-0101,Novelty Shop,Tailspin Toys,Hambleton,WV,West Virginia,United States,North America,Americas,Northern America
51,Tailspin Toys (Imlaystown, NJ),(201) 555-0100,(201) 555-0101,Novelty Shop,Tailspin Toys,Imlaystown,NJ,New Jersey,United States,North America,Americas,Northern America
52,Tailspin Toys (Idria, CA),(209) 555-0100,(209) 555-0101,Novelty Shop,Tailspin Toys,Idria,CA,California,United States,North America,Americas,Northern America
53,Tailspin Toys (Nanafalia, AL),(205) 555-0100,(205) 555-0101,Novelty Shop,Tailspin Toys,Nanafalia,AL,Alabama,United States,North America,Americas,Northern America
54,Tailspin Toys (Railroad, PA),(215) 555-0100,(215) 555-0101,Novelty Shop,Tailspin Toys,Railroad,PA,Pennsylvania,United States,North America,Americas,Northern America
55,Tailspin Toys (Gum Branch, GA),(229) 555-0100,(229) 555-0101,Novelty Shop,Tailspin Toys,Gum Branch,GA,Georgia,United States,North America,Americas,Northern America
56,Tailspin Toys (Royal City, WA),(206) 555-0100,(206) 555-0101,Novelty Shop,Tailspin Toys,Royal City,WA,Washington,United States,North America,Americas,Northern America
57,Tailspin Toys (Lakemore, OH),(216) 555-0100,(216) 555-0101,Novelty Shop,Tailspin Toys,Lakemore,OH,Ohio,United States,North America,Americas,Northern America
58,Tailspin Toys (Mappsburg, VA),(276) 555-0100,(276) 555-0101,Novelty Shop,Tailspin Toys,Mappsburg,VA,Virginia,United States,North America,Americas,Northern America
59,Tailspin Toys (Edgartown, MA),(339) 555-0100,(339) 555-0101,Novelty Shop,Tailspin Toys,Edgartown,MA,Massachusetts[E],United States,North America,Americas,Northern America
60,Tailspin Toys (East Dailey, WV),(304) 555-0100,(304) 555-0101,Novelty Shop,Tailspin Toys,East Dailey,WV,West Virginia,United States,North America,Americas,Northern America
61,Tailspin Toys (Fairfield Glade, TN),(423) 555-0100,(423) 555-0101,Novelty Shop,Tailspin Toys,Fairfield Glade,TN,Tennessee,United States,North America,Americas,Northern America
62,Tailspin Toys (Great Neck Estates, NY),(212) 555-0100,(212) 555-0101,Novelty Shop,Tailspin Toys,Great Neck Estates,NY,New York,United States,North America,Americas,Northern America
63,Tailspin Toys (Stallion Springs, CA),(209) 555-0100,(209) 555-0101,Novelty Shop,Tailspin Toys,Stallion Springs,CA,California,United States,North America,Americas,Northern America
64,Tailspin Toys (Hodgdon, ME),(207) 555-0100,(207) 555-0101,Novelty Shop,Tailspin Toys,Hodgdon,ME,Maine,United States,North America,Americas,Northern America
65,Tailspin Toys (North Cowden, TX),(210) 555-0100,(210) 555-0101,Novelty Shop,Tailspin Toys,North Cowden,TX,Texas,United States,North America,Americas,Northern America
66,Tailspin Toys (Madaket, MA),(339) 555-0100,(339) 555-0101,Novelty Shop,Tailspin Toys,Madaket,MA,Massachusetts[E],United States,North America,Americas,Northern America
67,Tailspin Toys (Sentinel Butte, ND),(701) 555-0100,(701) 555-0101,Novelty Shop,Tailspin Toys,Sentinel Butte,ND,North Dakota,United States,North America,Americas,Northern America
68,Tailspin Toys (Gardere, LA),(225) 555-0100,(225) 555-0101,Novelty Shop,Tailspin Toys,Gardere,LA,Louisiana,United States,North America,Americas,Northern America
69,Tailspin Toys (Lytle Creek, CA),(209) 555-0100,(209) 555-0101,Novelty Shop,Tailspin Toys,Lytle Creek,CA,California,United States,North America,Americas,Northern America
70,Tailspin Toys (New Baden, IL),(217) 555-0100,(217) 555-0101,Novelty Shop,Tailspin Toys,New Baden,IL,Illinois,United States,North America,Americas,Northern America
71,Tailspin Toys (Good Hart, MI),(231) 555-0100,(231) 555-0101,Novelty Shop,Tailspin Toys,Good Hart,MI,Michigan,United States,North America,Americas,Northern America
72,Tailspin Toys (Cortaro, AZ),(480) 555-0100,(480) 555-0101,Novelty Shop,Tailspin Toys,Cortaro,AZ,Arizona,United States,North America,Americas,Northern America
73,Tailspin Toys (Cokato, MN),(218) 555-0100,(218) 555-0101,Novelty Shop,Tailspin Toys,Cokato,MN,Minnesota,United States,North America,Americas,Northern America
74,Tailspin Toys (Indios, PR),(787) 555-0100,(787) 555-0101,Novelty Shop,Tailspin Toys,Indios,PR,Puerto Rico (US Territory),United States,North America,Americas,Northern America
75,Tailspin Toys (Windsor Locks, CT),(203) 555-0100,(203) 555-0101,Novelty Shop,Tailspin Toys,Windsor Locks,CT,Connecticut,United States,North America,Americas,Northern America
76,Tailspin Toys (Yewed, OK),(405) 555-0100,(405) 555-0101,Novelty Shop,Tailspin Toys,Yewed,OK,Oklahoma,United States,North America,Americas,Northern America
77,Tailspin Toys (Hahira, GA),(229) 555-0100,(229) 555-0101,Novelty Shop,Tailspin Toys,Hahira,GA,Georgia,United States,North America,Americas,Northern America
78,Tailspin Toys (Sekiu, WA),(206) 555-0100,(206) 555-0101,Novelty Shop,Tailspin Toys,Sekiu,WA,Washington,United States,North America,Americas,Northern America
79,Tailspin Toys (Page City, KS),(316) 555-0100,(316) 555-0101,Novelty Shop,Tailspin Toys,Page City,KS,Kansas,United States,North America,Americas,Northern America
80,Tailspin Toys (Valdese, NC),(252) 555-0100,(252) 555-0101,Novelty Shop,Tailspin Toys,Valdese,NC,North Carolina,United States,North America,Americas,Northern America
81,Tailspin Toys (Big Moose, NY),(212) 555-0100,(212) 555-0101,Novelty Shop,Tailspin Toys,Big Moose,NY,New York,United States,North America,Americas,Northern America
82,Tailspin Toys (La Cueva, NM),(505) 555-0100,(505) 555-0101,Novelty Shop,Tailspin Toys,La Cueva,NM,New Mexico,United States,North America,Americas,Northern America
83,Tailspin Toys (Absecon, NJ),(201) 555-0100,(201) 555-0101,Novelty Shop,Tailspin Toys,Absecon,NJ,New Jersey,United States,North America,Americas,Northern America
84,Tailspin Toys (Aceitunas, PR),(787) 555-0100,(787) 555-0101,Novelty Shop,Tailspin Toys,Aceitunas,PR,Puerto Rico (US Territory),United States,North America,Americas,Northern America
85,Tailspin Toys (Andrix, CO),(303) 555-0100,(303) 555-0101,Novelty Shop,Tailspin Toys,Andrix,CO,Colorado,United States,North America,Americas,Northern America
86,Tailspin Toys (New Lexington, OH),(216) 555-0100,(216) 555-0101,Novelty Shop,Tailspin Toys,New Lexington,OH,Ohio,United States,North America,Americas,Northern America
87,Tailspin Toys (Sauquoit, NY),(212) 555-0100,(212) 555-0101,Novelty Shop,Tailspin Toys,Sauquoit,NY,New York,United States,North America,Americas,Northern America
88,Tailspin Toys (Dracut, MA),(339) 555-0100,(339) 555-0101,Novelty Shop,Tailspin Toys,Dracut,MA,Massachusetts[E],United States,North America,Americas,Northern America
89,Tailspin Toys (Victory Gardens, NJ),(201) 555-0100,(201) 555-0101,Novelty Shop,Tailspin Toys,Victory Gardens,NJ,New Jersey,United States,North America,Americas,Northern America
90,Tailspin Toys (Tolna, ND),(701) 555-0100,(701) 555-0101,Novelty Shop,Tailspin Toys,Tolna,ND,North Dakota,United States,North America,Americas,Northern America
91,Tailspin Toys (Alstead, NH),(603) 555-0100,(603) 555-0101,Novelty Shop,Tailspin Toys,Alstead,NH,New Hampshire,United States,North America,Americas,Northern America
92,Tailspin Toys (Sans Souci, SC),(803) 555-0100,(803) 555-0101,Novelty Shop,Tailspin Toys,Sans Souci,SC,South Carolina,United States,North America,Americas,Northern America
93,Tailspin Toys (Clewiston, FL),(239) 555-0100,(239) 555-0101,Novelty Shop,Tailspin Toys,Clewiston,FL,Florida,United States,North America,Americas,Northern America
94,Tailspin Toys (Cheyenne Wells, CO),(303) 555-0100,(303) 555-0101,Novelty Shop,Tailspin Toys,Cheyenne Wells,CO,Colorado,United States,North America,Americas,Northern America
95,Tailspin Toys (Lavon, TX),(210) 555-0100,(210) 555-0101,Novelty Shop,Tailspin Toys,Lavon,TX,Texas,United States,North America,Americas,Northern America
96,Tailspin Toys (South La Paloma, TX),(210) 555-0100,(210) 555-0101,Novelty Shop,Tailspin Toys,South La Paloma,TX,Texas,United States,North America,Americas,Northern America
97,Tailspin Toys (Manchester Center, VT),(802) 555-0100,(802) 555-0101,Novelty Shop,Tailspin Toys,Manchester Center,VT,Vermont,United States,North America,Americas,Northern America
98,Tailspin Toys (El Centro, CA),(209) 555-0100,(209) 555-0101,Novelty Shop,Tailspin Toys,El Centro,CA,California,United States,North America,Americas,Northern America
99,Tailspin Toys (Guin, AL),(205) 555-0100,(205) 555-0101,Novelty Shop,Tailspin Toys,Guin,AL,Alabama,United States,North America,Americas,Northern America
100,Tailspin Toys (Tunnelhill, PA),(215) 555-0100,(215) 555-0101,Novelty Shop,Tailspin Toys,Tunnelhill,PA,Pennsylvania,United States,North America,Americas,Northern America
101,Tailspin Toys (Cundiyo, NM),(505) 555-0100,(505) 555-0101,Novelty Shop,Tailspin Toys,Cundiyo,NM,New Mexico,United States,North America,Americas,Northern America
102,Tailspin Toys (Fieldbrook, CA),(209) 555-0100,(209) 555-0101,Novelty Shop,Tailspin Toys,Fieldbrook,CA,California,United States,North America,Americas,Northern America
103,Tailspin Toys (Kalvesta, KS),(316) 555-0100,(316) 555-0101,Novelty Shop,Tailspin Toys,Kalvesta,KS,Kansas,United States,North America,Americas,Northern America
104,Tailspin Toys (Wallagrass, ME),(207) 555-0100,(207) 555-0101,Novelty Shop,Tailspin Toys,Wallagrass,ME,Maine,United States,North America,Americas,Northern America
105,Tailspin Toys (Tomnolen, MS),(228) 555-0100,(228) 555-0101,Novelty Shop,Tailspin Toys,Tomnolen,MS,Mississippi,United States,North America,Americas,Northern America
106,Tailspin Toys (Tumacacori, AZ),(480) 555-0100,(480) 555-0101,Novelty Shop,Tailspin Toys,Tumacacori,AZ,Arizona,United States,North America,Americas,Northern America
107,Tailspin Toys (Glen Avon, CA),(209) 555-0100,(209) 555-0101,Novelty Shop,Tailspin Toys,Glen Avon,CA,California,United States,North America,Americas,Northern America
108,Tailspin Toys (Bernie, MO),(314) 555-0100,(314) 555-0101,Novelty Shop,Tailspin Toys,Bernie,MO,Missouri,United States,North America,Americas,Northern America
109,Tailspin Toys (South Laguna, CA),(209) 555-0100,(209) 555-0101,Novelty Shop,Tailspin Toys,South Laguna,CA,California,United States,North America,Americas,Northern America
110,Tailspin Toys (North Crows Nest, IN),(219) 555-0100,(219) 555-0101,Novelty Shop,Tailspin Toys,North Crows Nest,IN,Indiana,United States,North America,Americas,Northern America
111,Tailspin Toys (Oriole Beach, FL),(239) 555-0100,(239) 555-0101,Novelty Shop,Tailspin Toys,Oriole Beach,FL,Florida,United States,North America,Americas,Northern America
112,Tailspin Toys (Sallyards, KS),(316) 555-0100,(316) 555-0101,Novelty Shop,Tailspin Toys,Sallyards,KS,Kansas,United States,North America,Americas,Northern America
113,Tailspin Toys (Dahlia, NM),(505) 555-0100,(505) 555-0101,Novelty Shop,Tailspin Toys,Dahlia,NM,New Mexico,United States,North America,Americas,Northern America
114,Tailspin Toys (Cherry Grove Beach, SC),(803) 555-0100,(803) 555-0101,Novelty Shop,Tailspin Toys,Cherry Grove Beach,SC,South Carolina,United States,North America,Americas,Northern America
115,Tailspin Toys (Bethania, NC),(252) 555-0100,(252) 555-0101,Novelty Shop,Tailspin Toys,Bethania,NC,North Carolina,United States,North America,Americas,Northern America
116,Tailspin Toys (Rafael CapÛ, PR),(787) 555-0100,(787) 555-0101,Novelty Shop,Tailspin Toys,Rafael CapÛ,PR,Puerto Rico (US Territory),United States,North America,Americas,Northern America
117,Tailspin Toys (Scofield, UT),(385) 555-0100,(385) 555-0101,Novelty Shop,Tailspin Toys,Scofield,UT,Utah,United States,North America,Americas,Northern America
118,Tailspin Toys (Vassalboro, ME),(207) 555-0100,(207) 555-0101,Novelty Shop,Tailspin Toys,Vassalboro,ME,Maine,United States,North America,Americas,Northern America
119,Tailspin Toys (Statenville, GA),(229) 555-0100,(229) 555-0101,Novelty Shop,Tailspin Toys,Statenville,GA,Georgia,United States,North America,Americas,Northern America
120,Tailspin Toys (Bratenahl, OH),(216) 555-0100,(216) 555-0101,Novelty Shop,Tailspin Toys,Bratenahl,OH,Ohio,United States,North America,Americas,Northern America
121,Tailspin Toys (Elrosa, MN),(218) 555-0100,(218) 555-0101,Novelty Shop,Tailspin Toys,Elrosa,MN,Minnesota,United States,North America,Americas,Northern America
122,Tailspin Toys (McClave, CO),(303) 555-0100,(303) 555-0101,Novelty Shop,Tailspin Toys,McClave,CO,Colorado,United States,North America,Americas,Northern America
123,Tailspin Toys (Roe Park, NY),(212) 555-0100,(212) 555-0101,Novelty Shop,Tailspin Toys,Roe Park,NY,New York,United States,North America,Americas,Northern America
124,Tailspin Toys (Hanoverton, OH),(216) 555-0100,(216) 555-0101,Novelty Shop,Tailspin Toys,Hanoverton,OH,Ohio,United States,North America,Americas,Northern America
125,Tailspin Toys (Annamoriah, WV),(304) 555-0100,(304) 555-0101,Novelty Shop,Tailspin Toys,Annamoriah,WV,West Virginia,United States,North America,Americas,Northern America
126,Tailspin Toys (Francis Mills, NJ),(201) 555-0100,(201) 555-0101,Novelty Shop,Tailspin Toys,Francis Mills,NJ,New Jersey,United States,North America,Americas,Northern America
127,Tailspin Toys (Point Roberts, WA),(206) 555-0100,(206) 555-0101,Novelty Shop,Tailspin Toys,Point Roberts,WA,Washington,United States,North America,Americas,Northern America
128,Tailspin Toys (East Portal, CO),(303) 555-0100,(303) 555-0101,Novelty Shop,Tailspin Toys,East Portal,CO,Colorado,United States,North America,Americas,Northern America
129,Tailspin Toys (Mineral Hills, MI),(231) 555-0100,(231) 555-0101,Novelty Shop,Tailspin Toys,Mineral Hills,MI,Michigan,United States,North America,Americas,Northern America
130,Tailspin Toys (Maple Shade, NJ),(201) 555-0100,(201) 555-0101,Novelty Shop,Tailspin Toys,Maple Shade,NJ,New Jersey,United States,North America,Americas,Northern America
131,Tailspin Toys (Kwethluk, AK),(907) 555-0100,(907) 555-0101,Novelty Shop,Tailspin Toys,Kwethluk,AK,Alaska,United States,North America,Americas,Northern America
132,Tailspin Toys (Minidoka, ID),(208) 555-0100,(208) 555-0101,Novelty Shop,Tailspin Toys,Minidoka,ID,Idaho,United States,North America,Americas,Northern America
133,Tailspin Toys (Lake Erie Beach, NY),(212) 555-0100,(212) 555-0101,Novelty Shop,Tailspin Toys,Lake Erie Beach,NY,New York,United States,North America,Americas,Northern America
134,Tailspin Toys (Tavares, FL),(239) 555-0100,(239) 555-0101,Novelty Shop,Tailspin Toys,Tavares,FL,Florida,United States,North America,Americas,Northern America
135,Tailspin Toys (Terre du Lac, MO),(314) 555-0100,(314) 555-0101,Novelty Shop,Tailspin Toys,Terre du Lac,MO,Missouri,United States,North America,Americas,Northern America
136,Tailspin Toys (Mount Montgomery, NV),(702) 555-0100,(702) 555-0101,Novelty Shop,Tailspin Toys,Mount Montgomery,NV,Nevada,United States,North America,Americas,Northern America
137,Tailspin Toys (Carbonville, UT),(385) 555-0100,(385) 555-0101,Novelty Shop,Tailspin Toys,Carbonville,UT,Utah,United States,North America,Americas,Northern America
138,Tailspin Toys (Navassa, NC),(252) 555-0100,(252) 555-0101,Novelty Shop,Tailspin Toys,Navassa,NC,North Carolina,United States,North America,Americas,Northern America
139,Tailspin Toys (Hardeeville, SC),(803) 555-0100,(803) 555-0101,Novelty Shop,Tailspin Toys,Hardeeville,SC,South Carolina,United States,North America,Americas,Northern America
140,Tailspin Toys (Furley, KS),(316) 555-0100,(316) 555-0101,Novelty Shop,Tailspin Toys,Furley,KS,Kansas,United States,North America,Americas,Northern America
141,Tailspin Toys (Arrow Rock, MO),(314) 555-0100,(314) 555-0101,Novelty Shop,Tailspin Toys,Arrow Rock,MO,Missouri,United States,North America,Americas,Northern America
142,Tailspin Toys (King Cove, AK),(907) 555-0100,(907) 555-0101,Novelty Shop,Tailspin Toys,King Cove,AK,Alaska,United States,North America,Americas,Northern America
143,Tailspin Toys (Ashtabula, OH),(216) 555-0100,(216) 555-0101,Novelty Shop,Tailspin Toys,Ashtabula,OH,Ohio,United States,North America,Americas,Northern America
144,Tailspin Toys (Larose, LA),(225) 555-0100,(225) 555-0101,Novelty Shop,Tailspin Toys,Larose,LA,Louisiana,United States,North America,Americas,Northern America
145,Tailspin Toys (Manahawkin, NJ),(201) 555-0100,(201) 555-0101,Novelty Shop,Tailspin Toys,Manahawkin,NJ,New Jersey,United States,North America,Americas,Northern America
146,Tailspin Toys (Belgreen, AL),(205) 555-0100,(205) 555-0101,Novelty Shop,Tailspin Toys,Belgreen,AL,Alabama,United States,North America,Americas,Northern America
147,Tailspin Toys (Fishtail, MT),(406) 555-0100,(406) 555-0101,Novelty Shop,Tailspin Toys,Fishtail,MT,Montana,United States,North America,Americas,Northern America
148,Tailspin Toys (Baraboo, WI),(262) 555-0100,(262) 555-0101,Novelty Shop,Tailspin Toys,Baraboo,WI,Wisconsin,United States,North America,Americas,Northern America
149,Tailspin Toys (Inguadona, MN),(218) 555-0100,(218) 555-0101,Novelty Shop,Tailspin Toys,Inguadona,MN,Minnesota,United States,North America,Americas,Northern America
150,Tailspin Toys (Corfu, NY),(212) 555-0100,(212) 555-0101,Novelty Shop,Tailspin Toys,Corfu,NY,New York,United States,North America,Americas,Northern America
151,Tailspin Toys (Antares, AZ),(480) 555-0100,(480) 555-0101,Novelty Shop,Tailspin Toys,Antares,AZ,Arizona,United States,North America,Americas,Northern America
152,Tailspin Toys (Sun River, MT),(406) 555-0100,(406) 555-0101,Novelty Shop,Tailspin Toys,Sun River,MT,Montana,United States,North America,Americas,Northern America
153,Tailspin Toys (Marcell, MN),(218) 555-0100,(218) 555-0101,Novelty Shop,Tailspin Toys,Marcell,MN,Minnesota,United States,North America,Americas,Northern America
154,Tailspin Toys (Eden Valley, MN),(218) 555-0100,(218) 555-0101,Novelty Shop,Tailspin Toys,Eden Valley,MN,Minnesota,United States,North America,Americas,Northern America
155,Tailspin Toys (Arbor Vitae, WI),(262) 555-0100,(262) 555-0101,Novelty Shop,Tailspin Toys,Arbor Vitae,WI,Wisconsin,United States,North America,Americas,Northern America
156,Tailspin Toys (Hollywood Park, TX),(210) 555-0100,(210) 555-0101,Novelty Shop,Tailspin Toys,Hollywood Park,TX,Texas,United States,North America,Americas,Northern America
157,Tailspin Toys (Saks, AL),(205) 555-0100,(205) 555-0101,Novelty Shop,Tailspin Toys,Saks,AL,Alabama,United States,North America,Americas,Northern America
158,Tailspin Toys (Donner, LA),(225) 555-0100,(225) 555-0101,Novelty Shop,Tailspin Toys,Donner,LA,Louisiana,United States,North America,Americas,Northern America
159,Tailspin Toys (Saint Louis Park, MN),(218) 555-0100,(218) 555-0101,Novelty Shop,Tailspin Toys,Saint Louis Park,MN,Minnesota,United States,North America,Americas,Northern America
160,Tailspin Toys (Crary, ND),(701) 555-0100,(701) 555-0101,Novelty Shop,Tailspin Toys,Crary,ND,North Dakota,United States,North America,Americas,Northern America
161,Tailspin Toys (Aspen Park, CO),(303) 555-0100,(303) 555-0101,Novelty Shop,Tailspin Toys,Aspen Park,CO,Colorado,United States,North America,Americas,Northern America
162,Tailspin Toys (Glen Park, NY),(212) 555-0100,(212) 555-0101,Novelty Shop,Tailspin Toys,Glen Park,NY,New York,United States,North America,Americas,Northern America
